EntityRegistrantme;EntityCentralIndexKey;standardIndustrialClassification;DocumentFiscalYearFocus;ETR;Tax_Credit_Total;NetIncomeAvailableToCommonStockholdersBasic;NonoperatingIncomeLossPlusInterestAndDebtExpense;IncomeFromContinuingOperationsBeforeTax;Tax_Settlement_Total;Federal_Income;OtherComprehensiveIncome;ComprehensiveIncomeAttributableToNoncontrollingInterest;NetIncomeAttributableToParent;CostsAndExpenses;Foreign_Income;IncomeFromEquityMethodInvestments;Other_Reconciling_Total;State_Local_Income;OperatingIncomeLoss;OtherOperatingIncome;GrossProfit;PreferredStockDividendsAndOtherAdjustments;IncomeFromDiscontinuedOperations;ComprehensiveIncome;Revenues;IncomeTaxExpenseBenefit;NondeductibleExpense_Total;OperatingExpenses;ComprehensiveIncomeAttributableToParent;NetIncomeAttributableToNoncontrollingInterest;NetIncomeLoss;Tax_Contingency_Total;IncomeBeforeEquityMethodInvestments;Deduction_Total;ExtraordaryItemsGainLoss;IncomeFromContinuingOperationsAfterTax;CostOfRevenue
AMERICAN CAMPUS COMMUNITIES INC;1283630;REAL ESTATE INVESTMENT TRUSTS [6798];2014;;;;;62692000;;;;;62839000;;;0;;;154986000;;;;2720000;57980000;733915000;1308000;;578929000;57980000;1265000;64104000;;;;;;
T-MOBILE US  INC.;1283699;RADIO TELEPHONE COMMUNICATIONS [4812];2014;0.402;;;;413000000;;;-2000000;;247000000;;;;;;1416000000;;;;;245000000;;166000000;;;245000000;;247000000;;413000000;;;;
MADISON AVE HOLDINGS INC;1284196;BLANK CHECKS [6770];2014;0.34;;-176364;;;;59964;;;-176364;;;;;;;;;;;;0;0;;176364;;;-176364;;;;;;
PLY GEM HOLDINGS INC;1284807;MILLWOOD, VENEER, PLYWOOD & STRUCTURAL WOOD MEMBERS [2430];2014;0.003;;-31269000;;-31374000;;-10981000;-16761000;;-31269000;1505145000;2015000;;199000;;61498000;0;307801000;0;;-48030000;1566643000;-105000;;246303000;-48030000;;-31269000;;-31374000;;;-31374000;1258842000
COHEN & STEERS INC;1284812;INVESTMENT ADVICE [6282];2014;0.38;;;;122014000;;;-4571000;;75510000;;;-1955000;;;121941000;;;;;70939000;313934000;46280000;;191993000;70939000;224000;75734000;;122014000;;;;
REALPAGE INC;1286225;SERVICES-PREPACKAGED SOFTWARE [7372];2014;;;-10274000;;-16607000;;-5813000;;;-10274000;;-477000;;;-177000;-15503000;;229680000;;;-10321000;404551000;-6333000;454000;245183000;-10321000;;-10274000;;-16607000;;;;174871000
LINCOLN EDUCATIOL SERVICES CORP;1286613;SERVICES-EDUCATIOL SERVICES [8200];2014;0.079;;-56133000;;-53712000;;;;;-56133000;373571000;;;185000;-1494000;-48549000;;;;-6646000;-60038000;325022000;-4225000;;;-60038000;;-56133000;;;;;;164352000
DOMINOS PIZZA INC;1286681;WHOLESALE-GROCERIES & RELATED PRODUCTS [5140];2014;;;162587000;;258623000;;90518000;-677000;;162587000;;15032000;;;7320000;345361000;;594766000;;;161910000;1993833000;96036000;1284000;;161910000;;162587000;;258623000;;;;1399067000
XERIUM TECHNOLOGIES INC;1287151;BROADWOVEN FABRIC MILS, MAN MADE FIBER & SILK [2221];2014;1.325;449000;-7382000;;22698000;;7944000;-55886000;;-7382000;;-3110000;;;1095000;60185000;;;;;-63268000;542932000;30080000;1906000;482747000;-63268000;;-7382000;;22698000;;;;327161000
DOUGLAS DYMICS  INC;1287213;CONSTRUCTION MACHINERY & EQUIP [3531];2014;;;39352000;;61997000;;21699000;;;;;;;;1694000;72217000;;116326000;;;34795000;303511000;22036000;;;;;39961000;8000;61997000;;;;187185000
Hill Intertiol  Inc.;1287808;SERVICES-ENGINEERING SERVICES [8711];2014;;;-10879000;;-1205000;;-410000;-10283000;-391000;-10879000;;-2285000;;;-2076000;29280000;;247010000;;;-19899000;640281000;8411000;;;-19508000;1263000;-10879000;-2379000;-1205000;;;;393271000
MEDICAL PROPERTIES TRUST INC;1287865;REAL ESTATE INVESTMENT TRUSTS [6798];2014;;;;;51138000;;17898000;;274000;50522000;169580000;1145000;;;-337000;142952000;;;;-2000;37823000;312532000;340000;;;37549000;274000;50796000;;;;;;
T-REX OIL  INC.;1287900;CRUDE PETROLEUM & TURAL GAS [1311];2015;;;-11043541;;-11043541;;3865000;;;-11043541;;;;-2960000;332000;-11043602;;;;;;;;;11043602;;;-11043541;;;;;;
MAXLINEAR INC;1288469;SEMICONDUCTORS & RELATED DEVICES [3674];2014;;;-7041000;;-8745000;;-2973000;-83000;;-7041000;;-31000;;;-391000;-8858000;;81958000;;;-7124000;133112000;-1704000;;90816000;-7124000;;-7041000;;-8745000;;;;51154000
OptimumBank Holdings  Inc.;1288855;TIOL COMMERCIAL BANKS [6021];2014;;;1605000;;1605000;;546000;79000;;1605000;;;;;75000;;;;;;1684000;5392000;;;;1684000;;1605000;;;;;;
MORNINGSTAR  INC.;1289419;INVESTMENT ADVICE [6282];2014;0.313;;78285000;;113898000;;39893000;-30016000;-131000;78301000;654477000;-3961000;39000;;2129000;105594000;;;;0;48243000;760071000;35678000;;;48374000;-42000;78259000;;113898000;;;;318638000
Texas Roadhouse  Inc.;1289460;RETAIL-EATING PLACES [5812];2014;0.3;;87022000;;129967000;;;;;;1451699000;;1602000;;;130449000;;;;;87892000;1582148000;38990000;;;87892000;3955000;90977000;;;;;;
Extra Space Storage Inc.;1289490;REAL ESTATE INVESTMENT TRUSTS [6798];2014;0.037;-2176000;177865000;;188903000;;71215000;-12061000;17120000;178355000;368687000;;10541000;;1109000;278468000;;;;;183835000;647155000;7570000;;;166715000;-13575000;195896000;;188903000;;;;172416000
Cord Blood America  Inc.;1289496;SERVICES-MEDICAL LABORATORIES [8071];2014;;;240050;;240050;;;;;240050;;;;;;-168947;;2957858;;769841;0;4331051;0;;;0;;240050;;240050;;;;1373193
Huron Consulting Group Inc.;1289848;SERVICES-MAGEMENT CONSULTING SERVICES [8742];2014;0.31;;;;114608000;;;;;79051000;;;;;;122996000;;;;;77193000;889207000;35557000;;183296000;77193000;;79051000;;;;;;582915000
Spok Holdings  Inc;1289945;RADIO TELEPHONE COMMUNICATIONS [4812];2014;0.241;;20745000;;27327000;;;;;20745000;172122000;;;;;28151000;;;;;;200273000;6582000;;;;;20745000;;27327000;;;;32556000
Village Bank & Trust Fincial Corp.;1290476;STATE COMMERCIAL BANKS [6022];2014;;;-2473000;;-1037000;;-352000;2080000;;-1037000;;;;36000;44000;;;;1436000;;;16578000;0;;;;;-1037000;;-1037000;;;;
COMMERCIAL VEHICLE GROUP  INC.;1290900;MOTOR VEHICLE PARTS & ACCESSORIES [3714];2014;;91000;;;;;4466000;;;;;-991000;;;1799000;;;;;;;;;1556000;;;;;;;;;;
BOEING CO;12927;AIRCRAFT [3721];2014;0.237;;;;;;;;;;;;287000000;;;;;;;;1447000000;;1691000000;;;;-10000000;;;;;;;
TechTarget Inc;1293282;SERVICES-BUSINESS SERVICES, NEC [7389];2014;;;4081000;;7126000;;2477000;;;4081000;;-144000;;;337000;7459000;;78156000;;;3795000;106203000;3045000;;70697000;3795000;;4081000;;;;;;28047000
Rand Logistics  Inc.;1294250;WATER TRANSPORTATION [4400];2015;-0.047;;-10588000;;-8996000;;;;;;;;;;;7324000;;;;;-13869000;152960000;424000;;145636000;;;-9420000;;;;;;
IASIS HEALTHCARE LLC;1294632;SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC [8062];2015;0.524;;-7975000;;14212000;;;1222000;;-7975000;;;;;;15620000;;;;-1793000;6192000;;7449000;;;;12945000;4970000;;;;;;
InvenSense Inc;1294924;SEMICONDUCTORS & RELATED DEVICES [3674];2015;0.676;;-1080000;;-3335000;;;34000;;-1080000;;;890000;;;5850000;;155859000;;;-1046000;372019000;-2255000;;150009000;-1046000;;-1080000;;;;;;216160000
Bancorp  Inc.;1295401;TIOL COMMERCIAL BANKS [6021];2014;;;57109000;;7292000;;2479000;;;57109000;;-591000;;147000;1877000;;;;;35294000;68886000;70720000;-14523000;;;68886000;;57109000;;7292000;;;;
Sunstone Hotel Investors  Inc.;1295810;HOTELS & MOTELS [7011];2014;;;72031000;;83269000;;;;;;985255000;;;;;156743000;;;;4849000;87939000;;179000;;;72031000;6676000;87939000;;;;;;
Prestige Brands Holdings  Inc.;1295947;PHARMACEUTICAL PREPARATIONS [2834];2015;;;78260000;;127458000;;44610000;;;78260000;;-2019000;;;;207559000;;406223000;;;54109000;713457000;49198000;;198664000;54109000;;78260000;;;;;;
Neeh Paper Inc;1296435;PAPER MILLS [2621];2014;0.101;;68700000;;76400000;;26700000;;;68700000;;-2100000;;300000;1600000;87500000;;177200000;;;27600000;;7700000;;;27600000;;68700000;;76400000;;;;725500000
Kentucky First Federal Bancorp;1297341;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2015;;;2069000;;3090000;;1051000;;;2069000;;;;1000;;;;;;;2037000;12389000;;;;2037000;;2069000;;;;;;
ATEL CAPITAL EQUIPMENT FUND XI  LLC;1297667;SERVICES-EQUIPMENT RENTAL & LEASING, NEC [7359];2014;;;;;;;;;;1727000;;;;;;;;;;;;3918000;;;2189000;;;1727000;;;;;;
ExlService Holdings  Inc.;1297989;SERVICES-BUSINESS SERVICES, NEC [7389];2014;0.138;;;;37638000;;;5209000;;32445000;;-3327000;;12797000;;34040000;;166743000;;;37654000;499278000;5193000;15000;132703000;37654000;;32445000;;;;;;
Digital Realty Trust  Inc.;1297996;REAL ESTATE [6500];2014;;;132718000;;;;;;2079000;200183000;1357772000;;13289000;;;258666000;;;;;146525000;1616438000;5238000;;;144446000;3232000;203415000;;;;;;
CubeSmart;1298675;REAL ESTATE INVESTMENT TRUSTS [6798];2014;;;20371000;;;;;2289000;19000;26379000;295420000;;-6255000;;;81543000;;;;336000;28991000;376963000;;;;28634000;;26702000;;;;;;132701000
DiamondRock Hospitality Co;1298946;REAL ESTATE INVESTMENT TRUSTS [6798];2014;;;;;169013000;;59155000;;;163377000;735395000;0;;128000;893000;137467000;;;;0;;;5636000;;;;;163377000;;;;;;
BofI Holding  Inc.;1299709;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2015;0.413;;82373000;;140857000;;;;;82682000;;;;;;;;;;;83649000;244364000;58175000;;;83649000;;82682000;;;;;;
Las Vegas Sands Corp;1300514;HOTELS & MOTELS [7011];2014;0.064;;;;;;;;746710000;;;;;;;;;;;;;;244640000;;;;747442000;;;;;;;
BlueLinx Holdings Inc.;1301787;WHOLESALE-LUMBER, PLYWOOD, MILLWORK & WOOD PANELS [5031];2014;;;-13872000;;-13560000;;-4746000;-18132000;;-13872000;;;;-207000;-623000;13536000;;229104000;;;-32004000;1979393000;312000;232000;215568000;-32004000;;-13872000;;;;;;1750289000
Energizer Resources  Inc.;1302084;GOLD & SILVER ORES [1040];2015;0.35;;-6072810;;;;;;;-6072810;;;;;;;;;;;-6085904;;;345100;6927557;-6085904;;-6072810;;;;;;
EDUCATION REALTY TRUST  INC.;1302343;REAL ESTATE INVESTMENT TRUSTS [6798];2014;;;;;15394000;;71000;;599000;47055000;201853000;;-710000;156000;34000;23940000;;;;0;43189000;225793000;261000;;106343000;42590000;599000;47654000;;15394000;;;;
LHC Group  Inc.;1303313;SERVICES-HOME HEALTH CARE SERVICES [8082];2014;0.399;284000;21837000;;43265000;;12723000;;;;;;;;1407000;45486000;;298857000;;;;;14513000;766000;;;6915000;28752000;;43265000;;;;434775000
TABLEAU SOFTWARE INC;1303652;SERVICES-PREPACKAGED SOFTWARE [7372];2014;0.182;6499000;5873000;;7182000;;2514000;211000;;5873000;;1340000;;;207000;6324000;;375631000;;;6084000;412616000;1309000;;369307000;6084000;;5873000;;;;;;36985000
BankFincial CORP;1303942;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2014;;;;;9297000;;3161000;338000;;;;;;;664000;;;;;;40952000;49349000;-31317000;;;40952000;;40614000;;9297000;;;;
Pharma-Bio Serv  Inc.;1304161;SERVICES-MAGEMENT CONSULTING SERVICES [8742];2014;0.148;;;;2878172;;;;;2413645;;;;;;2864149;;8973210;;;2354689;27555039;464527;;;2354689;;2413645;;;;;;18581829
Novelis Inc.;1304280;ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS [3350];2015;0.08;;148000000;;167000000;-6000000;;-470000000;15000000;148000000;;;-5000000;;;;;;;;-337000000;;14000000;;;-322000000;0;148000000;;167000000;;;;
Consolidated Communications Holdings  Inc.;1304421;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2014;0.458;;14521000;;28415000;;;-34556000;321000;15067000;;;;;;91189000;;;;;-19168000;635738000;13027000;;;-19489000;321000;15388000;;;;;;
Dymic Gold Corp.;1304730;METAL MINING [1000];2015;0;;-116098;;;;;;;-116098;;;;;;;;;;;;;;;;;;-116098;;;;;;
ARC Document Solutions  Inc.;1305168;SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART & PHOTOGRAPHY [7330];2014;0.24;;;;9779000;;;-851000;100000;7275000;;;;;;29842000;;144278000;;;6580000;423756000;2348000;;;6480000;156000;7431000;;9779000;;;;279478000
Bridgepoint Education Inc;1305323;SERVICES-EDUCATIOL SERVICES [8200];2014;0.438;470000;9668000;;17195000;;6018000;;;9668000;624394000;;;4000;426000;14311000;;;;;9445000;638705000;7527000;;;9445000;;9668000;424000;;;;;321312000
CELANESE CORPORATION;1306830;PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS) [2820];2014;0.33;;624000000;;941000000;;3.29E+08;-161000000;-4000000;624000000;;-3.30E+07;246000000;;9000000;758000000;;1616000000;;-7000000;459000000;;314000000;;;463000000;-4000000;620000000;;;;;;
Dolby Laboratories  Inc.;1308547;RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT [3663];2015;0.254;;;;245782000;;;-14118000;1326000;181390000;;129400000;;;;213228000;;875822000;;;168227000;970638000;62542000;;662594000;166901000;1850000;183240000;;245782000;;;;94816000
MAJOR LEAGUE FOOTBALL INC;1308569;SERVICES-MAGEMENT CONSULTING SERVICES [8742];2015;0.3975;;;;;;1261000;;;-3710675;;;;;216000;-3773816;;;;;-3710675;20000;;;3793816;-3710675;;-3710675;;;;;;
SPIRIT REALTY CAPITAL  INC.;1308606;OPERATORS OF NONRESIDENTIAL BUILDINGS [6512];2014;;;-33799000;;-50222000;;;-445000;;-33799000;588343000;;;;;14528000;;;;488000;-34244000;602871000;673000;;;-34244000;;-33799000;;-50222000;;;;
Behringer Harvard Opportunity REIT I  Inc.;1308711;REAL ESTATE INVESTMENT TRUSTS [6798];2014;;;-23530000;;;;;-2179000;-414000;-23530000;80539000;;170000;;;;;;;0;-26123000;55487000;98000;;;-25709000;;-23944000;;;;;;
Chi Health Industries Holdings  Inc.;1309057;PHARMACEUTICAL PREPARATIONS [2834];2015;;;;;237414;;;;51;2561;;;;;;;;2935878;;;23040;;234905;;2709139;23040;-52;2509;;;;;;7290174
LUCAS ENERGY  INC.;1309082;CRUDE PETROLEUM & TURAL GAS [1311];2015;;;-5128274;;;;-1739023;;;-5128274;;;;;;-3602318;;;;;;;;;6603204;;;-5128274;;;;;;
WEX Inc.;1309108;SERVICES-BUSINESS SERVICES, NEC [7389];2014;0.337;;;;301639000;;;;-6529000;202211000;;;;;;306238000;;;;;160596000;817647000;101621000;;511409000;167125000;-2193000;200018000;;301639000;;;;119876000
Aspect FuturesAccess LLC;1309132;[6221];2014;;;;;;;;;;;;;;;;;;;;;;;1164420;;9186371;;;33167912;;;;;;
Green Plains Inc.;1309402;INDUSTRIAL ORGANIC CHEMICALS [2860];2014;;;;;250430000;;87650000;1019000;;159504000;;;-4129000;255000;6810000;286274000;;374798000;;;160523000;;90926000;;;160523000;;159504000;;;;;;
SEARS HOLDINGS CORP;1310067;RETAIL-DEPARTMENT STORES [5311];2014;0.074;;-1682000000;;-1685000000;;;-1225000000;-438000000;-1682000000;;;37000000;;;-1508000000;;;;;;;125000000;;;;-128000000;-1810000000;;-1685000000;;;;
SERVICESOURCE INTERTIOL  INC.;1310114;SERVICES-BUSINESS SERVICES, NEC [7389];2014;;1769000;-95159000;;-94857000;;;259000;;-95159000;;1882000;;-134000;758000;-83849000;;78171000;;;-94900000;272180000;302000;;162020000;-94900000;;-95159000;;-94857000;;;;194009000
Summit Healthcare REIT  Inc;1310383;REAL ESTATE INVESTMENT TRUSTS [6798];2014;;;-3777000;;-4388000;;;;;-3777000;14680000;;;;;-1260000;;;;-226000;;13420000;;;;;-837000;-4614000;;-4388000;;;;
INTERMOLECULAR INC;1311241;SEMICONDUCTORS & RELATED DEVICES [3674];2014;;;-21761000;;-21754000;;-7741000;;;-21761000;;;;;1000;-21043000;;23044000;;;-21798000;47695000;7000;104000;44087000;-21798000;;-21761000;;;;;;24342000
LAZARD LTD;1311370;INVESTMENT ADVICE [6282];2014;0.164;;427277000;;;;;-67205000;6785000;427277000;1780982000;;;;;519465000;;;;;366858000;;85402000;;;360073000;6786000;434063000;;;;;;
VERIFONE SYSTEMS  INC.;1312073;CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS) [3578];2015;;;;;72948000;;25532000;-187491000;;79097000;;-2544000;;;469000;106991000;;825983000;;;-107134000;2000457000;-7409000;;718992000;-108394000;1260000;80357000;;72948000;;;;1174474000
ICON Leasing Fund Eleven  LLC;1312910;SERVICES-EQUIPMENT RENTAL & LEASING, NEC [7359];2014;;;703275;;1155796;;;;338538;703275;;;1611117;;;;;;;;761822;10774094;-113983;;9618298;423284;338538;1041813;;;;;;
BRIGHTCOVE INC;1313275;SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374];2014;0.016;;-16893000;;-16633000;;;;;-16893000;;;;;;-15193000;;81284000;;;-17216000;125017000;260000;;96477000;-17216000;;-16893000;;;;;;43733000
AVEX LIFE SCIENCES CORP.;1314052;SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH [8731];2015;;;;;-12108130;;-4117000;;;-12108130;;80000;;;;;;;;;;;;;7108714;;;-12108130;;;;;;
PSIVIDA CORP.;1314102;LABORATORY ALYTICAL INSTRUMENTS [3826];2015;;;;;6443000;;2191000;-99000;;6347000;;137000;;;435000;6421000;;;;;6248000;26565000;96000;;20144000;6248000;;6347000;;;;;;
Summer Infant  Inc.;1314772;MISCELLANEOUS MANUFACTURING INDUSTRIES [3990];2014;;173000;-245000;;-772000;;-262000;;;;;-249000;;18000;-76000;2683000;;66941000;;;;205359000;-527000;25000;;;;-245000;;-772000;;;;138418000
GTT Communications  Inc.;1315255;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2014;-0.1008;;;;-20896000;;;;;-22979000;;;;;;-702000;;;;;-23609000;207343000;2083000;;208045000;-23609000;;-22979000;;-20896000;;;;128086000
PARKE BANCORP  INC.;1315399;STATE COMMERCIAL BANKS [6022];2014;;;9273000;;18023000;;6128000;;;10473000;;;;;675000;;;;1200000;;400000;38132000;5711000;5000;;9673000;1839000;12312000;;18023000;;;;
Anthera Pharmaceuticals Inc;1316175;PHARMACEUTICAL PREPARATIONS [2834];2014;0;;-29604000;;;;;;;-29604000;;;;;;-28459000;;;;;-29604000;;;;28459000;-29604000;;-29604000;;;;;;
Kandi Technologies Group  Inc.;1316517;MOTOR VEHICLES & PASSENGER CAR BODIES [3711];2014;;;;;14685750;;;;;12271338;;;-54308;;;5244160;;23403933;;;9546195;;2414412;;18159773;9546195;;12271338;;;;;;146825073
SILICON GRAPHICS INTERTIOL CORP.;1316625;ELECTRONIC COMPUTERS [3571];2015;-0.012;;;;-38705000;;;;;-39145000;;;;;;-34089000;;134638000;;;-40526000;521259000;440000;;168727000;-40526000;;-39145000;;-38705000;;;;386621000
FEDERAL HOME LOAN BANK OF SAN FRANCISCO;1316944;FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES [6111];2014;;;;;241000000;;;;;;;;;;;;;;;;;1005000000;;;;;;;;241000000;;;;
ITC Holdings Corp.;1317630;ELECTRIC SERVICES [4911];2014;;;;;394405000;;138042000;-1511000;;244083000;430219000;;;;16054000;592829000;;;;;242572000;;150322000;0;;242572000;;244083000;;394405000;;;;
Zumiez Inc;1318008;RETAIL-APPAREL & ACCESSORY STORES [5600];2014;0.397;;43192000;;71651000;;;-15988000;;43192000;;;;;;71571000;;287083000;;;27204000;811551000;28459000;;;27204000;;43192000;;71651000;;;;524468000
Core-Mark Holding Company  Inc.;1318084;WHOLESALE-GROCERIES & GENERAL LINE [5141];2014;0.357;600000;42700000;;66400000;;23200000;-5900000;;42700000;;;;;2300000;68300000;;573700000;;;36800000;;23700000;;505400000;36800000;;42700000;;66400000;;;;
Madison Technologies Inc.;1318268;MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS) [1400];2014;;;-81716;;-55324;;;;;-81716;;5547;;;;;;;;;;;-21246;;55324;;;-81716;;;;;;
Citi Trends Inc;1318484;RETAIL-APPAREL & ACCESSORY STORES [5600];2014;;;8966000;;11110000;;3889000;;;;;;;;364000;11123000;;;;;;;2144000;;;;;8966000;;11110000;;;;418416000
CLEVELAND BIOLABS INC;1318641;SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH [8731];2014;;;1629104;;;;12000;;-2477469;;;;-285542;6000;;-14421935;;;;;1781474;;0;;18123834;695995;-1593738;35366;;;;;;
DSW Inc.;1319947;RETAIL-SHOE STORES [5661];2014;;;;;244927000;;87059000;;;;;;3813000;;8808000;242132000;17300000;;;272000;146845000;;95713000;;;146845000;;153299000;;244927000;;;;1741071000
Cooper-Standard Holdings Inc.;1320461;MOTOR VEHICLE PARTS & ACCESSORIES [3714];2014;0.485;23956000;42779000;;88283000;;30899000;-111628000;2615000;42779000;;-767000;6037000;;2203000;164508000;16927000;509429000;0;;-66155000;0;42810000;;;-68770000;2694000;45473000;;;;;;
TREEHOUSE FOODS  INC.;1320695;CANNED, FROZEN & PRESERVED FRUIT, VEG & FOOD SPECIALTIES [2030];2014;;;;;136570000;;47800000;-32568000;;89880000;;-4579000;;;4145000;218154000;;606604000;;;57312000;;46690000;;388450000;57312000;;89880000;;136570000;;;;
TSS  Inc.;1320760;SERVICES-MAGEMENT CONSULTING SERVICES [8742];2014;-0.021;;-2803000;;-2750000;;;;;-2803000;;;;;;-2473000;;8561000;;;;27985000;53000;;;;;-2803000;;-2750000;;;;
Akers Biosciences Inc;1321834;IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES [2835];2014;0;;-3142960;;-3127167;;;;;-3127167;-55708;;;;;-3204121;;3251942;;;;4427174;;;;;;-3127167;;;;;;1175232
GLOBAL PARTNERS LP;1323468;WHOLESALE-PETROLEUM BULK STATIONS & TERMILS [5171];2014;0.008;;;;117943000;;;;2271000;;;;;;;165707000;;542605000;;;115038000;;963000;;376898000;112767000;;114709000;;117943000;;;;
Community Bankers Trust Corp;1323648;STATE COMMERCIAL BANKS [6022];2014;0.266;;7269000;;10244000;;;4773000;;7516000;;;;;;;;;;;12289000;48725000;2728000;;;12289000;;7516000;;10244000;;;;
AtriCure  Inc.;1323885;SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841];2014;;;;;;;-5501000;;;;;458000;;;-433000;;;;;;;;;;;;;;;;;;;
HEXION INC.;13239;PLASTICS, MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS [2821];2014;;;-148000000;;-142000000;;-5.00E+07;-138000000;0;-148000000;;3.00E+06;20000000;;1000000;198000000;;603000000;;;-286000000;;26000000;;;-286000000;0;-148000000;;-142000000;;;;
CF Industries Holdings  Inc.;1324404;AGRICULTURE CHEMICALS [2870];2014;0.353;;1390300000;;;;765600000;-117200000;46500000;;;-40300000;22500000;;61700000;;;1778500000;;;1319600000;;773000000;;205200000;1273100000;46500000;1436800000;;;;;;
Guaranty Bancorp;1324410;STATE COMMERCIAL BANKS [6022];2014;0.316;;13512000;;19748000;;;5827000;;13512000;;;;;;;;;;;19339000;75520000;6236000;;;;;13512000;;19748000;;;;
EXPEDIA  INC.;1324424;TRANSPORTATION SERVICES [4700];2014;;;;;464641000;;162624000;-164726000;-32902000;398097000;;-81371000;2743000;-5893000;2720000;517764000;;;;;208224000;;91691000;;;241126000;-25147000;372950000;-1625000;;;;;1179081000
RBC Bearings INC;1324948;BALL & ROLLER BEARINGS [3562];2015;;;58248000;;84555000;;29594000;-10135000;;58248000;;842000;;;1191000;88430000;;170140000;;;48113000;445278000;26307000;;81710000;48113000;;58248000;;84555000;;;;275138000
KAPSTONE PAPER & PACKAGING CORP;1325281;PAPER MILLS [2621];2014;0.34;;171915000;;260601000;;;;;;;;;;;299931000;;;;;112391000;;88686000;;;112391000;;171915000;;;;;;
Federal Home Loan Bank of Des Moines;1325814;FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES [6111];2014;;;;;134507000;;;;;;;;;;;;;;;;;670997000;;;;;;;;134507000;;;;
Federal Home Loan Bank of Topeka;1325878;FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES [6111];2014;;;;;117787000;;;;;;;;;;;;;;;;;428301000;;;;;;;;117787000;;;;
Alon USA Energy  Inc.;1325955;PETROLEUM REFINING [2911];2014;;;38398000;;92781000;;32474000;31885000;34239000;38457000;;;1678000;;532000;201572000;;;;;101753000;0;22913000;;281686000;67514000;31411000;69868000;;;;;;
Lightwave Logic  Inc.;1325964;MISCELLANEOUS PLASTIC PRODUCTS [3080];2014;;;-4409797;;;;-1503000;;;-4409797;;;;;-398000;;;;;;;2500;;;4395684;;;-4409797;;;;;;
Lazard Group LLC;1326141;INVESTMENT ADVICE [6282];2014;0.144;;457004000;;;;;-61095000;6153000;457004000;1759761000;;;;;540975000;;;;;402065000;;77815000;;;395912000;6156000;463160000;;;;;;
PHARMATHENE  INC;1326190;PHARMACEUTICAL PREPARATIONS [2834];2014;;;;;-9893649;;-3363841;-9966213;;-9955395;;7913;;-308;-450656;-10191305;;;;;;;61746;;20381510;;;-9955395;;-9893649;;;;
GameStop Corp.;1326380;RETAIL-COMPUTER & COMPUTER SOFTWARE STORES [5734];2014;0.354;;393100000;;608300000;;;;0;393100000;;;;;;618300000;;;;;285200000;;215200000;;;285200000;0;393100000;;608300000;;;;
WEBMD HEALTH CORP.;1326583;SERVICES-BUSINESS SERVICES, NEC [7389];2014;0.429;;40941000;;71648000;;;976000;;42063000;;;;;;;;;;1122000;43039000;580449000;30707000;;;43039000;;42063000;;71648000;;;;224094000
Xencor Inc;1326732;PHARMACEUTICAL PREPARATIONS [2834];2014;;;-16422000;;;;-5583000;;;;;;;;;-16457000;;;;;;;;;25977000;;;-16422000;;;;;;
Federal Home Loan Bank of Cincinti;1326771;FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES [6111];2014;;;;;271858000;;;;;;;;;;;;;;;;;908349000;;;;;;;;271858000;;;;
FACEBOOK INC;1326801;SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC. [7370];2014;0.401;;;;;;;;;;;;;;;;;;;;;;1970000000;;;;;;;;;;;
Palo Alto Networks Inc;1327567;COMPUTER PERIPHERAL EQUIPMENT, NEC [3577];2015;-0.06;;;;-155577000;;;17000;;-164982000;;;;;;-133536000;;676553000;;;-164965000;928052000;9405000;;810089000;-164965000;;-164982000;;-155577000;;;;120405000
Workday  Inc.;1327811;SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374];2015;-0.008;;;;-245972000;;;-409000;;-247982000;;;;;;-215702000;;;;;-248391000;787860000;2010000;;1003562000;-248391000;;-247982000;;-245972000;;;;
